start_hour,is_weekend,member_casual,rides,avg_duration_min
0,False,casual,14181,20.18640676374492
1,False,casual,7953,20.84643895385389
2,False,casual,4783,19.568869339326785
3,False,casual,2968,20.231418969002693
4,False,casual,2785,18.04582752842609
5,False,casual,4665,13.141370768131477
6,False,casual,10381,13.066649794496355
7,False,casual,18243,13.369719573717772
8,False,casual,27273,14.533659634070327
9,False,casual,26632,16.929794478446983
10,False,casual,27084,20.660396689312265
11,False,casual,31774,21.727909265961685
12,False,casual,37183,22.145706227756413
13,False,casual,39588,22.43304568093025
14,False,casual,42903,22.836251185620274
15,False,casual,48580,23.270745290585975
16,False,casual,53626,22.852958637911957
17,False,casual,68815,21.278898215263144
18,False,casual,70585,20.87794407404784
19,False,casual,60157,20.951736127411053
20,False,casual,47682,21.163312229981962
21,False,casual,36404,20.74474682132
22,False,casual,30452,19.74228822409037
23,False,casual,23091,19.456816741731988
0,False,member,31774,12.78981335893078
1,False,member,16485,12.858735739561217
2,False,member,9620,12.833841968121968
3,False,member,5935,12.818646649817468
4,False,member,7147,11.80325179096124
5,False,member,23562,10.160634964490846
6,False,member,69987,10.120835118188616
7,False,member,130961,10.629956561877199
8,False,member,203717,11.147608318238863
9,False,member,160704,10.653685005558875
10,False,member,114393,10.77717958018993
11,False,member,114587,11.014414504554036
12,False,member,127442,11.061473862489079
13,False,member,132141,11.026425177525017
14,False,member,139161,11.432901235978472
15,False,member,154757,11.746921863308284
16,False,member,194750,12.008755485066324
17,False,member,283944,12.277489059579823
18,False,member,273400,12.226015237746891
19,False,member,210969,12.163952003927907
20,False,member,159360,12.472954844691264
21,False,member,115330,12.586860768663835
22,False,member,88698,12.797476537050816
23,False,member,59848,12.732961225382079
0,True,casual,9666,21.030808621284226
1,True,casual,7487,19.714136721428254
2,True,casual,5556,20.39317037736981
3,True,casual,3622,20.62253132247377
4,True,casual,2440,18.159134043715845
5,True,casual,1623,19.069801386321625
6,True,casual,2043,16.13560972426171
7,True,casual,3367,17.204456593406594
8,True,casual,5763,19.418459341199604
9,True,casual,9873,20.04239722475438
10,True,casual,14590,21.550978713730863
11,True,casual,19090,22.513653321983586
12,True,casual,23525,22.997322815444562
13,True,casual,25991,23.6331908051505
14,True,casual,27333,24.258981969902074
15,True,casual,27537,24.51259090859571
16,True,casual,27097,24.875045692020027
17,True,casual,27930,24.48624738870987
18,True,casual,26161,24.2862155269294
19,True,casual,23900,24.34038847977685
20,True,casual,19357,23.299417469132614
21,True,casual,14778,21.945729803311227
22,True,casual,12691,21.525640977858323
23,True,casual,10381,20.542261413479757
0,True,member,19248,13.393474962766694
1,True,member,13415,13.14955695614362
2,True,member,9357,13.245377503473335
3,True,member,6147,13.103870072121902
4,True,member,4012,12.894375211864407
5,True,member,3378,12.78888840043418
6,True,member,6916,11.317706456043956
7,True,member,12179,10.97602879546761
8,True,member,20286,11.357223700253048
9,True,member,32393,11.583345474330875
10,True,member,40787,11.7410915017857
11,True,member,47168,12.15003522691938
12,True,member,53711,12.62978939292386
13,True,member,57098,12.858953600534754
14,True,member,58593,12.994327872783437
15,True,member,58715,13.270689104998723
16,True,member,57201,13.294096227047312
17,True,member,60458,13.11440566784655
18,True,member,58746,13.092443077542868
19,True,member,54095,13.32895423390948
20,True,member,44572,13.183688091178318
21,True,member,34289,13.062200128807099
22,True,member,28186,13.388367485631164
23,True,member,21730,13.471202068568799
